manual_species,count,match_level,genus,family,order,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,taxon_id,taxon_id_is_new,common_name_id,common_name_id_is_new,needs_manual_review,review_reason
hjortdjur,29,animal (family),,Cervidae,,hjortdjur,Cervus elaphus,Animalia,2440958.0,Cervus elaphus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440958,Barbary Red Deer (barbarus),"hjort, hjortdjur, hjorthår",,carried-over (species_split_taxa_gbif_matches.csv),Cervus,Cervidae,Artiodactyla,Animalia,Cervus elaphus,47021,True,4287,True,False,
hordeum,26,genus (latin),Hordeum,Poaceae,Poales,,,Plantae,2706050.0,Hordeum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706050,Barley,hordeum,,carried-over (species_split_taxa_gbif_matches.csv),Hordeum,Poaceae,Poales,Plantae,Hordeum,47022,True,4288,True,False,
älg,25,animal (common name),Alces,Cervidae,Artiodactyla,älg,Alces alces,Animalia,2440940.0,Alces alces,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440940,Alce,älg,,carried-over (species_split_taxa_gbif_matches.csv),Alces,Cervidae,Artiodactyla,Animalia,Alces alces,47023,True,4289,True,False,
brudbröd,22,species (common name),Filipendula,Rosaceae,Rosales,brudbröd,Filipendula vulgaris,Plantae,2988069.0,Filipendula vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/2988069,Dropwort,"brudberöd, brudbröd",,carried-over (species_split_taxa_gbif_matches.csv),Filipendula,Rosaceae,Rosales,Plantae,Filipendula vulgaris,4671,False,3575,False,False,
gräs,22,"genus (suffix, ambiguous)",,,,,,,,,,,,,,gräs,"Scheuchzeria, Isoetes, Pilularia, Achnantherum, Arctophila, Beckmannia, Briza, Catabrosa, Chloris, Cinna, Crypsis, Cynodon, Dactyloctenium, Danthonia, Dinebra, Eragrostis, Gastridium, Glyceria, Hierochloe, Leptochloa, Lolium, Mibora, Pennisetum, Phalaris, Phippsia, Polypogon, Puccinellia, Rytidosperma, Schismus, Scolochloa, Snowdenia, Spartina, Sporobolus, Stipa, Taeniatherum, Tragus, Sparganium, Filipendula",,,,,,,,False,,False,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Scheuchzeria, Isoetes, Pilularia, Achnantherum, Arctophila, Beckmannia, Briza, Catabrosa, Chloris, Cinna, Crypsis, Cynodon, Dactyloctenium, Danthonia, Dinebra, Eragrostis, Gastridium, Glyceria, Hierochloe, Leptochloa, Lolium, Mibora, Pennisetum, Phalaris, Phippsia, Polypogon, Puccinellia, Rytidosperma, Schismus, Scolochloa, Snowdenia, Spartina, Sporobolus, Stipa, Taeniatherum, Tragus, Sparganium, Filipendula"
hund,22,animal (common name),Canis,Canidae,Carnivora,hund,Canis lupus familiaris,Animalia,6164210.0,Canis lupus familiaris,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/6164210,Domestic Dog,hund,,carried-over (species_split_taxa_gbif_matches.csv),Canis,Canidae,Carnivora,Animalia,Canis lupus familiaris,47024,True,4290,True,False,
djur,21,gbif only (no prior SEAD anchor),,,,,,Animalia,159935719,Animalia,KINGDOM,VERNACULAR,,,,djurben,,species/search (vernacular),,,,Animalia,,,False,,False,True,no GBIF or SEAD match at any rank; weak GBIF match (VERNACULAR)
kronhjort,20,animal (common name),Cervus,Cervidae,Artiodactyla,kronhjort,Cervus elaphus,Animalia,2440958.0,Cervus elaphus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440958,Barbary Red Deer (barbarus),kronhjort,,carried-over (species_split_taxa_gbif_matches.csv),Cervus,Cervidae,Artiodactyla,Animalia,Cervus elaphus,47021,True,4291,True,False,
djur?,19,species (common name),Cardamine,Brassicaceae,Brassicales,tandrot,Cardamine bulbifera,Plantae,3045931.0,Cardamine bulbifera,SPECIES,EXACT,99.0,https://www.gbif.org/species/3045931,Coralroot,"gräsätare, hjärnsubstans, hörntand, koprolit, läder, tandrot, tjärat nöthår, tänder",,carried-over (species_split_taxa_gbif_matches.csv),Cardamine,Brassicaceae,Brassicales,Plantae,Cardamine bulbifera,1146,False,925,False,True,marked uncertain ('?') in the manual mapping
brakved,18,species (common name),Frangula,Rhamnaceae,Rosales,brakved,Frangula alnus,Plantae,3039454.0,Frangula alnus,SPECIES,EXACT,100.0,https://www.gbif.org/species/3039454,Alder Buckthorn,brakved,,carried-over (species_split_taxa_gbif_matches.csv),Frangula,Rhamnaceae,Rosales,Plantae,Frangula alnus,4559,False,3476,False,False,
ull,14,"genus (suffix, ambiguous)",Eriophorum,Cyperaceae,Poales,,,Plantae,160027178,Eriophorum,GENUS,VERNACULAR,,,,"ull, ulltextil","Nymphoides, Polemonium, Eriophorum",species/search (vernacular),Eriophorum,Cyperaceae,Poales,Plantae,,47025,True,4292,True,True,"ambiguous genus suffix match, candidates: Nymphoides, Polemonium, Eriophorum; weak GBIF match (VERNACULAR)"
populus,14,genus (latin),Populus,Salicaceae,Salicales,,,Plantae,3040183.0,Populus,GENUS,EXACT,96.0,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar",populus,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus,47026,True,4293,True,False,
prunus sp,12,genus (latin),Prunus,Rosaceae,Rosales,,,Plantae,3020559.0,Prunus,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/3020559,"Almond, Cherry, Plum",prunus sp,,carried-over (species_split_taxa_gbif_matches.csv),Prunus,Rosaceae,Rosales,Plantae,Prunus,47027,True,4294,True,False,
ren,12,animal (common name),Rangifer,Cervidae,Artiodactyla,ren,Rangifer tarandus,Animalia,5220114.0,Rangifer tarandus,SPECIES,EXACT,100.0,https://www.gbif.org/species/5220114,Caribou,"ren, renhår",,carried-over (species_split_taxa_gbif_matches.csv),Rangifer,Cervidae,Artiodactyla,Animalia,Rangifer tarandus,47028,True,4295,True,False,
Starrsläktet,12,"genus (suffix, ambiguous)",Carex,Cyperaceae,Poales,,,Plantae,296322706,Carex,GENUS,VERNACULAR,,,Sedges,starr,,species/search (vernacular),Carex,Cyperaceae,Poales,Plantae,,47029,True,4296,True,True,ambiguous genus suffix match (candidates not available); weak GBIF match (VERNACULAR)
populus sp,12,genus (latin),Populus,Salicaceae,Salicales,,,Plantae,3040183.0,Populus,GENUS,EXACT,96.0,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar",populus sp,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus,47026,True,4297,True,False,
hordeum vulgare,11,,,,,,,,,,,,,,,hordeum vulgare,,,,,,,,,False,,False,True,no GBIF or SEAD match at any rank
fisk,11,,,,,,,,,,,,,,,"fisk, fiskben, fiskfjäll",,,,,,,,,False,,False,True,no GBIF or SEAD match at any rank
knylhavre,11,species (common name),Arrhenatherum,Poaceae,Poales,knylhavre,Arrhenatherum elatius ssp elatius,Plantae,9781113.0,Arrhenatherum elatius elatius,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/9781113,False Oat-grass,knylhavre,,carried-over (species_split_taxa_gbif_matches.csv),Arrhenatherum,Poaceae,Poales,Plantae,Arrhenatherum elatius ssp elatius,3737,False,2877,False,False,
bäver,11,animal (common name),Castor,Castoridae,Rodentia,bäver,Castor fiber,Animalia,4409131.0,Castor fiber,SPECIES,EXACT,100.0,https://www.gbif.org/species/4409131,Beaver,bäver,,carried-over (species_split_taxa_gbif_matches.csv),Castor,Castoridae,Rodentia,Animalia,Castor fiber,47030,True,4298,True,False,
vildsvin,9,animal (common name),Sus,Suidae,Artiodactyla,vildsvin,Sus scrofa,Animalia,7705930.0,Sus scrofa,SPECIES,EXACT,100.0,https://www.gbif.org/species/7705930,Boar,vildsvin,,carried-over (species_split_taxa_gbif_matches.csv),Sus,Suidae,Artiodactyla,Animalia,Sus scrofa,47031,True,4299,True,False,
ljung,9,species (common name),Calluna,Ericaceae,Ericales,ljung,Calluna vulgaris,Plantae,2882482.0,Calluna vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/2882482,Common Heather,ljung,,carried-over (species_split_taxa_gbif_matches.csv),Calluna,Ericaceae,Ericales,Plantae,Calluna vulgaris,2249,False,1734,False,False,
mjölon,9,species (common name),Arctostaphylos,Ericaceae,Ericales,mjölon,Arctostaphylos uva-ursi,Plantae,2882580.0,Arctostaphylos uva-ursi,SPECIES,EXACT,100.0,https://www.gbif.org/species/2882580,Bear-grape,mjölon,,carried-over (species_split_taxa_gbif_matches.csv),Arctostaphylos,Ericaceae,Ericales,Plantae,Arctostaphylos uva-ursi,2248,False,1733,False,False,
